id	title	detail	tag
1	たまねぎいりませんか	今日たまねぎを買ったのですが、５玉入りでした。使いきれないので、誰かほしい方もらって下さい！！（４つあります）	1
2	【急】工具セット持っている方	網戸が急に落ちてきました。近くに工具セット持っている方いましたら助けて欲しいです！！	1
3	みかんが大量に届きました・・・	昨日愛媛に住む親戚からみかんが大量に届きました。傷む前にどなたかほしい方もらって下さい。	1
4	電子レンジほしい方いますか？	今月で下宿辞めるのですが、家具家電の処分に困ってます。電子レンジ、結構新しめです。ほしい方もらって下さい。	1
5	チョコレート下さい。	バレンタインでは貰えなかったので、ホワイトデーでリベンジです。心優しい下宿女子、僕達にチョコレート作って下さい。	1
10	TSUTAYA半額なんで夜通し映画みませんかー？	"明日TSUTAYAでDVD,Blue-ray半額です！暇で映画好きの人沢山観ましょう！（SF,アクションが好きです。）"	2
6	飲み会しましょう！！	一週間お疲れ様です！明日の晩空いている人、家で飲みましょう！	2
7	レンタカーの旅～第二弾～	前回好評だった下宿生限定レンタカーの旅、第二弾を開催することになりました。４月上旬を予定しています。興味のある方是非！！	2
8	『今出川女子会』	明後日の夜空いていたら、下宿生同士仲良く話しましょう！^^	2
9	カラオケオール♪♪	明日ジャンカラ安いですよー！カラオケオールしましょう！！	2
11	今日の晩ごはん迷ってる自炊生！	"このレシピ、この間作ってみたら簡単で美味しかったですよー！是非オススメです。（しっとり柔らか�･鶏むね肉の味噌マヨ焼き�･
：http://cookpad.com/recipe/3663206）"	3
12	明日はハローマート全品半額ですよ！	明日、学校近くのハローマート確か半額セールします。間違っていたらごめんなさい。笑	3
13	【今出川】明日粗大ごみの日です。	明日は粗大ごみの日ですよー！大きめのごみがある人明日逃したら次は二週間後です！笑	3
14	おすすめの本、笑	『すべて真夜中の恋人たち（川上未映子）』　この本、すごいよかったです。予定がなくて暇な夜に読んでみてください。貸しますよー！ 	3
15	自転車通学講習会	キャンパスまで自転車で通っている下宿生、この講習会に参加しないと来学期から自転車通学できないみたいです。	3
